Date,Hour,Temperature,RainProb,WindSpeed,HeavyWeather
2024-05-17,11.0,20.61,0.0,17.964000000000002,0
2024-05-17,12.0,19.9,0.0,18.684,0
2024-05-17,13.0,19.26,0.0,20.304,0
2024-05-17,14.0,18.46,0.0,21.024,0
2024-05-17,15.0,17.82,0.0,22.788,0
2024-05-17,16.0,17.15,0.0,21.636,0
2024-05-17,17.0,16.26,0.0,18.936,0
2024-05-17,18.0,15.47,0.0,17.928,0
2024-05-17,19.0,14.76,0.0,16.740000000000002,0
2024-05-17,20.0,14.36,0.0,18.144000000000002,0
2024-05-17,21.0,14.21,0.0,19.259999999999998,0
2024-05-17,22.0,15.02,0.0,20.232,0
2024-05-17,23.0,16.18,0.0,18.540000000000003,0
2024-05-18,0.0,17.66,0.0,24.624,0
2024-05-18,1.0,19.48,0.0,24.084000000000003,0
2024-05-18,2.0,21.59,0.0,25.56,0
2024-05-18,3.0,23.05,0.0,30.888,0
2024-05-18,4.0,23.4,0.0,29.052000000000003,0
2024-05-18,5.0,23.58,0.0,27.864,0
2024-05-18,6.0,23.97,0.0,27.756,0
2024-05-18,7.0,23.39,0.0,27.288,0
2024-05-18,8.0,22.11,0.0,24.336,0
2024-05-18,9.0,20.76,0.0,20.664,0
2024-05-18,10.0,19.65,0.0,20.808,0
2024-05-18,11.0,18.62,0.0,21.888,0
2024-05-18,12.0,17.66,0.0,22.896,0
2024-05-18,13.0,16.72,0.0,22.212,0
2024-05-18,14.0,15.83,0.0,20.772,0
2024-05-18,15.0,15.11,0.0,20.124,0
2024-05-18,16.0,14.4,0.0,19.836,0
2024-05-18,17.0,13.72,0.0,18.503999999999998,0
2024-05-18,18.0,12.99,0.0,16.704,0
2024-05-18,19.0,12.19,0.0,15.048,0
2024-05-18,20.0,11.49,0.0,14.076,0
2024-05-18,21.0,10.81,0.0,14.076,0
2024-05-18,22.0,10.5,0.0,14.076,0
2024-05-18,23.0,12.09,0.0,14.4,0
2024-05-19,0.0,13.63,0.0,20.16,0
2024-05-19,1.0,15.23,0.0,20.052000000000003,0
2024-05-19,2.0,16.94,0.0,21.204,0
2024-05-19,3.0,18.36,0.0,22.752000000000002,0
2024-05-19,4.0,19.29,0.0,23.868,0
2024-05-19,5.0,19.83,0.0,24.768,0
2024-05-19,6.0,19.83,0.0,26.496000000000002,0
2024-05-19,7.0,19.25,0.0,28.404,0
2024-05-19,8.0,17.87,0.0,25.776,0
2024-05-19,9.0,15.9,0.0,20.736,0
2024-05-19,10.0,14.69,0.0,20.304,0
2024-05-19,11.0,13.8,0.0,20.52,0
2024-05-19,12.0,13.04,0.0,20.232,0
2024-05-19,13.0,12.31,0.0,18.900000000000002,0
2024-05-19,14.0,11.61,0.0,18.396,0
2024-05-19,15.0,11.05,0.0,18.612000000000002,0
2024-05-19,16.0,10.6,0.0,19.332,0
2024-05-19,17.0,10.03,0.0,19.512,0
2024-05-19,18.0,9.51,0.0,18.791999999999998,0
2024-05-19,19.0,9.25,0.0,18.18,0
2024-05-19,20.0,8.93,0.0,18.215999999999998,0
2024-05-19,21.0,8.53,0.0,17.604,0
2024-05-19,22.0,8.45,0.0,17.064,0
2024-05-19,23.0,10.77,0.0,21.888,0
2024-05-20,0.0,13.35,0.0,26.172,0
2024-05-20,1.0,15.37,0.0,28.296000000000003,0
2024-05-20,2.0,16.92,0.0,28.944,0
2024-05-20,3.0,18.15,0.0,28.8,0
2024-05-20,4.0,19.05,0.0,28.980000000000004,0
2024-05-20,5.0,19.55,0.0,28.62,0
2024-05-20,6.0,19.63,0.0,28.08,0
2024-05-20,7.0,19.12,0.0,28.692,0
2024-05-20,8.0,17.53,0.0,24.372,0
2024-05-20,9.0,15.12,0.0,18.0,0
2024-05-20,10.0,14.05,0.0,18.540000000000003,0
2024-05-20,11.0,13.25,0.0,18.828000000000003,0
2024-05-20,12.0,12.53,0.0,17.712,0
2024-05-20,13.0,11.93,0.0,18.971999999999998,0
2024-05-20,14.0,11.5,0.0,20.808,0
2024-05-20,15.0,11.29,0.0,21.708000000000002,0
2024-05-20,16.0,10.77,0.0,18.828000000000003,0
2024-05-20,17.0,10.17,0.0,15.3,0
2024-05-20,18.0,9.77,0.0,16.740000000000002,0
2024-05-20,19.0,9.37,0.0,15.336,0
2024-05-20,20.0,9.07,0.0,15.659999999999998,0
2024-05-20,21.0,8.87,0.0,16.164,0
2024-05-20,22.0,8.97,0.0,15.876000000000001,0
2024-05-20,23.0,11.29,0.0,19.044,0
2024-05-21,0.0,13.97,0.0,23.328000000000003,0
2024-05-21,1.0,15.51,0.0,24.66,0
2024-05-21,2.0,17.04,0.0,25.956,0
2024-05-21,3.0,18.57,0.0,27.288,0
2024-05-21,4.0,19.1,0.0,27.0,0
